"","Bx","By","Bz"
"680",3.5,-1.44,0.61
"681",3.94,-1.56,1.2
"682",3.73,-1.28,1.47
"683",3.89,-0.77,2.33
"684",3.97,-0.63,2.26
"685",3.93,-0.91,1.75
"686",3.85,-1.46,1.4
"687",3.64,-1.4,1.18
"688",3.76,-1.33,1.27
"689",3.71,-1.66,0.86
"690",3.54,-1.98,0.39
"691",4.06,-0.83,1.56
"692",4.02,-0.55,1.87
"693",3.81,0.15,2.6
"694",3.77,-0.38,2.06
"695",3.95,-0.66,2.07
"696",4.46,-0.16,2.25
"697",4.41,-0.6,2.24
"698",4.19,-0.98,1.56
"699",3.59,-1.95,0.45
"700",3.97,-1.17,1.3
"701",2.99,-2.87,-0.51
"702",3.75,-1.56,1.07
"703",4.59,-0.37,2.15
"704",3.45,-2.62,-0.31
"705",3.6,-2.11,0.14
"706",4.41,-0.5,2.04
"707",4.30086397728244,-2.63214977855088,-0.214020151306631
"708",3.14,-2.74,-0.72
"709",4.26,-0.91,1.47
"710",4.48,-0.69,2.15
"711",4.69,-0.29,1.87
"712",4.7,-0.29,1.86
"713",4.64,-0.4,1.89
"714",4.61,-0.36,1.86
"715",4.62,-0.33,1.79
"716",4.24,-0.5,1.2
"717",4.21,-0.56,1.3
"718",4.11,-0.58,1.23
"719",4.44,-0.39,1.66
"720",4.44,-0.35,1.82
"721",4.25,-0.39,1.57
"722",4.25,-0.39,1.57
"723",3.33736482787046,-1.75978878831542,0.43116315421637
"724",4.63715309070232,-0.642916524082817,2.76284267482262
"725",3.60471928738698,-0.988695622862151,0.760829850511924
"726",3.20703241618904,-2.73478278000822,-1.461974536309
"727",5.09248444061237,-0.307611005362005,-0.192206535241317
"728",4.19,-0.82,1.2
"729",4.19,-0.78,1.26
"730",3,-2.87,-0.91
"731",2.96,-3.02,-1.26
"732",2.98,-2.92,-1.45
"733",2.94,-2.98,-1.48
"734",2.9,-3.02,-1.41
"735",3.04,-2.95,-1.29
"736",3.89845453275769,0.44011072803887,3.5203859560228
"737",3.01,-3.06,-1.31
"738",3.75,-2.59,-1.24
"739",3.69,-2.5,-1.47
"740",3.87,-2.35,-1.59
"741",3.72,-2.4,-1.55
"742",3.73,-2.45,-1.34
"743",3.52,-2.55,-1.32
"744",3.74,-2.42,-1.39
"745",4.16,-2.28,-1.44
"746",4.27,-2.25,-1.21
"747",4.47,-2.08,-0.95
"748",4.57,-1.81,-0.84
"749",4.42,-2.03,-1
"750",4.46,-2.12,-0.96
"751",4.52,-2.04,-0.92
"752",4.61,-1.8,-0.9
"753",4.7,-1.7,-0.79
"754",4.59,-1.8,-0.91
"755",4.77,-1.64,-0.39
"756",4.75,-1.71,-0.71
"757",4.69,-1.68,-0.84
"758",4.82,-1.32,-0.32
"759",0.105807730597614,-1.60991524542707,-3.05721115901552
"760",4.96,-0.91,-0.39
"761",4.96,-0.83,-0.29
"762",4.83,-1.3,-0.56
"763",4.91,-1.19,-0.56
"764",4.88,-1.13,-0.59
"765",5,-0.43,-0.12
"766",4.84,-1.33,-0.69
"767",4.85,-1.54,-0.79
"768",4.89,-0.96,-0.49
"769",4.84,-1.34,-0.57
"770",4.89,-0.77,-0.38
"771",4.95,0.07,0.34
"772",4.94,-0.33,-0.1
